"plan_sponsor_clean","plan_type_clean","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"VENICE","P","B","C","B","C","D","D","D","D","D","C","C","C"
"VERO BEACH","F",NA,NA,NA,"B","B","B","D","C","C","C","C","C"
"VERO BEACH","G",NA,"C",NA,NA,"C","D","D","C","D","D","C","D"
"VERO BEACH","P","A",NA,"A","A","B","C","D","B",NA,"B","B",NA
"VILLAGE OF NORTH PALM BEACH","PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B"
"VILLAGE OF PALM SPRINGS","G",NA,NA,NA,"C","C","C","C",NA,NA,"B",NA,"B"
"VILLAGE OF PALM SPRINGS","PF",NA,NA,"C",NA,"D","D","D",NA,"C",NA,"C",NA
"WEST PALM BEACH","F","D",NA,NA,"D","D","D","C","D","D","D","D","D"
"WEST PALM BEACH","P","B",NA,"A","A",NA,NA,"D","D","C","C","C",NA
"WILLISTON","G",NA,NA,NA,"A",NA,NA,NA,NA,NA,NA,NA,NA
"WILTON MANORS","F",NA,NA,"D","D",NA,"F","F","D","D",NA,NA,"A"
"WILTON MANORS","G",NA,NA,NA,"C","D","C","C","C","B","C","C","C"
"WILTON MANORS","P",NA,NA,NA,"D","D","D","D","C","C","C","D","C"
"WINTER GARDEN","G",NA,NA,NA,NA,NA,"A","A","A","A","A","A","A"
"WINTER GARDEN","PF",NA,NA,NA,NA,NA,"A","A","A","A","A","A","A"
"WINTER HAVEN","F","C","D",NA,"D","F","F","F","D","D","C","C","C"
"WINTER HAVEN","G","C","C",NA,"C","C","F","F","F","D","D","C","C"
"WINTER HAVEN","P","C","B","B","C","C","C","C","C","B","A","A","B"
"WINTER PARK","F",NA,NA,"B",NA,"B","C","D","B","C","B","B",NA
"WINTER PARK","P",NA,"B",NA,NA,"C","D","D","D","D","B","C",NA
"WINTER SPRINGS","GPF",NA,NA,NA,"D",NA,"D",NA,"D","D","D","C",NA
