"plan_sponsor_clean","plan_type_clean","valuation_year","grade_letter"
"PALATKA","G",2011,"C"
"PALATKA","G",2012,"D"
"PALATKA","G",2014,"B"
"PALATKA","G",2015,"C"
"PALATKA","G",2016,"C"
"PALATKA","P",2009,"A"
"PALATKA","P",2010,"A"
"PALATKA","P",2011,"B"
"PALATKA","P",2012,"A"
"PALATKA","P",2013,"A"
"PALATKA","P",2014,"A"
"PALATKA","P",2015,"A"
"PALATKA","P",2016,"A"
"PALM BAY","F",2006,"C"
"PALM BAY","F",2008,"B"
"PALM BAY","F",2009,"B"
"PALM BAY","F",2010,"B"
"PALM BAY","F",2011,"D"
"PALM BAY","F",2012,"C"
"PALM BAY","F",2013,"C"
"PALM BAY","F",2014,"C"
"PALM BAY","F",2015,"C"
"PALM BAY","F",2016,"B"
"PALM BAY","P",2008,"A"
"PALM BAY","P",2009,"B"
"PALM BAY","P",2010,"B"
"PALM BAY","P",2011,"C"
"PALM BAY","P",2012,"C"
"PALM BAY","P",2013,"B"
"PALM BAY","P",2014,"B"
"PALM BAY","P",2015,"B"
"PALM BAY","P",2016,"B"
"PALM BEACH","F",2008,"C"
"PALM BEACH","F",2009,"D"
"PALM BEACH","F",2010,"D"
"PALM BEACH","F",2011,"D"
"PALM BEACH","F",2012,"D"
"PALM BEACH","F",2013,"D"
"PALM BEACH","F",2014,"D"
"PALM BEACH","F",2015,"D"
"PALM BEACH","F",2016,"D"
"PALM BEACH","G",2008,"A"
"PALM BEACH","G",2011,"A"
"PALM BEACH","G",2012,"B"
"PALM BEACH","G",2013,"B"
"PALM BEACH","G",2014,"A"
"PALM BEACH","G",2015,"C"
"PALM BEACH","G",2016,"C"
"PALM BEACH","LG",2008,"C"
"PALM BEACH","LG",2011,"D"
"PALM BEACH","LG",2012,"D"
"PALM BEACH","LG",2013,"D"
"PALM BEACH","LG",2014,"D"
"PALM BEACH","LG",2015,"D"
"PALM BEACH","LG",2016,"D"
"PALM BEACH","P",2008,"B"
"PALM BEACH","P",2009,"B"
"PALM BEACH","P",2010,"C"
"PALM BEACH","P",2011,"C"
"PALM BEACH","P",2012,"C"
"PALM BEACH","P",2014,"D"
"PALM BEACH","P",2015,"D"
"PALM BEACH","P",2016,"C"
"PALM BEACH GARDENS","F",2005,"D"
"PALM BEACH GARDENS","F",2007,"D"
"PALM BEACH GARDENS","F",2008,"D"
"PALM BEACH GARDENS","F",2009,"D"
"PALM BEACH GARDENS","F",2010,"C"
"PALM BEACH GARDENS","F",2011,"D"
"PALM BEACH GARDENS","F",2012,"D"
"PALM BEACH GARDENS","F",2013,"C"
"PALM BEACH GARDENS","F",2014,"B"
"PALM BEACH GARDENS","F",2015,"B"
"PALM BEACH GARDENS","F",2016,"C"
"PALM BEACH GARDENS","G",2005,"C"
"PALM BEACH GARDENS","G",2006,"C"
"PALM BEACH GARDENS","G",2007,"C"
"PALM BEACH GARDENS","G",2008,"C"
"PALM BEACH GARDENS","P",2007,"D"
"PALM BEACH GARDENS","P",2009,"D"
"PALM BEACH GARDENS","P",2010,"D"
"PALM BEACH GARDENS","P",2011,"D"
"PALM BEACH GARDENS","P",2013,"C"
"PALM BEACH GARDENS","P",2014,"C"
"PALM BEACH GARDENS","P",2015,"C"
"PALM COAST","F",2008,"A"
"PALM COAST","F",2010,"B"
"PALM COAST","F",2011,"B"
"PALM COAST","F",2012,"A"
"PALM COAST","F",2013,"A"
"PALM COAST","F",2015,"A"
"PALM COAST","F",2016,"A"
"PALM SPRINGS","G",2005,"B"
"PALM SPRINGS","G",2006,"C"
"PALM SPRINGS","G",2007,"C"
"PALM SPRINGS","PF",2005,"F"
"PALM SPRINGS","PF",2006,"F"
"PALMETTO","G",2005,"A"
"PALMETTO","G",2006,"A"
"PALMETTO","G",2007,"B"
"PALMETTO","G",2008,"B"
"PALMETTO","G",2009,"B"
"PALMETTO","G",2010,"C"
"PALMETTO","G",2011,"D"
"PALMETTO","G",2012,"C"
"PALMETTO","G",2013,"C"
"PALMETTO","G",2014,"C"
"PALMETTO","G",2015,"C"
"PALMETTO","G",2016,"B"
"PALMETTO","P",2005,"A"
"PALMETTO","P",2006,"A"
"PALMETTO","P",2007,"A"
"PALMETTO","P",2008,"A"
"PALMETTO","P",2009,"A"
"PALMETTO","P",2010,"C"
"PALMETTO","P",2011,"C"
"PALMETTO","P",2012,"B"
"PALMETTO","P",2013,"B"
"PALMETTO","P",2014,"B"
"PALMETTO","P",2015,"B"
"PALMETTO","P",2016,"B"
"PANAMA CITY","F",2005,"D"
"PANAMA CITY","F",2006,"D"
"PANAMA CITY","F",2007,"C"
"PANAMA CITY","F",2008,"C"
"PANAMA CITY","F",2009,"D"
"PANAMA CITY","F",2010,"D"
"PANAMA CITY","F",2011,"F"
"PANAMA CITY","F",2012,"D"
"PANAMA CITY","F",2013,"D"
"PANAMA CITY","F",2015,"D"
"PANAMA CITY","F",2016,"D"
"PANAMA CITY","P",2005,"B"
"PANAMA CITY","P",2006,"B"
"PANAMA CITY","P",2007,"B"
"PANAMA CITY","P",2008,"B"
"PANAMA CITY","P",2009,"B"
"PANAMA CITY","P",2010,"D"
"PANAMA CITY","P",2011,"D"
"PANAMA CITY","P",2012,"D"
"PANAMA CITY","P",2013,"B"
"PANAMA CITY","P",2015,"C"
"PANAMA CITY","P",2016,"C"
"PARKLAND","P",2008,"D"
"PARKLAND","P",2009,"D"
"PARKLAND","P",2010,"B"
"PARKLAND","P",2014,"C"
"PARKLAND","P",2015,"C"
"PARKLAND","P",2016,"C"
"PEMBROKE PINES","G",2012,"B"
"PEMBROKE PINES","G",2013,"A"
"PEMBROKE PINES","G",2014,"A"
"PEMBROKE PINES","G",2015,"A"
"PEMBROKE PINES","PF",2011,"F"
"PEMBROKE PINES","PF",2012,"D"
"PEMBROKE PINES","PF",2013,"D"
"PEMBROKE PINES","PF",2014,"D"
"PEMBROKE PINES","PF",2015,"D"
"PENSACOLA","F",2007,"C"
"PENSACOLA","F",2008,"C"
"PENSACOLA","F",2009,"C"
"PENSACOLA","F",2010,"C"
"PENSACOLA","F",2013,"C"
"PENSACOLA","F",2014,"C"
"PENSACOLA","F",2015,"B"
"PENSACOLA","F",2016,"B"
"PENSACOLA","G",2005,"D"
"PENSACOLA","G",2006,"D"
"PENSACOLA","G",2008,"D"
"PENSACOLA","G",2009,"D"
"PENSACOLA","G",2010,"D"
"PENSACOLA","G",2012,"D"
"PENSACOLA","G",2014,"D"
"PENSACOLA","G",2016,"C"
"PENSACOLA","P",2012,"D"
"PENSACOLA","P",2013,"C"
"PENSACOLA","P",2014,"C"
"PENSACOLA","P",2015,"C"
"PERRY","F",2010,"D"
"PERRY","F",2011,"F"
"PERRY","F",2012,"D"
"PERRY","F",2013,"D"
"PERRY","F",2015,"B"
"PERRY","F",2016,"C"
"PERRY","P",2006,"A"
"PERRY","P",2008,"A"
"PERRY","P",2010,"B"
"PERRY","P",2011,"D"
"PERRY","P",2012,"C"
"PERRY","P",2013,"B"
"PERRY","P",2015,"B"
"PERRY","P",2016,"A"
"PINELLAS PARK","F",2005,"C"
"PINELLAS PARK","F",2006,"D"
"PINELLAS PARK","F",2008,"D"
"PINELLAS PARK","F",2009,"D"
"PINELLAS PARK","F",2010,"D"
"PINELLAS PARK","F",2011,"D"
"PINELLAS PARK","F",2012,"C"
"PINELLAS PARK","F",2013,"C"
"PINELLAS PARK","F",2014,"C"
"PINELLAS PARK","F",2015,"C"
"PINELLAS PARK","F",2016,"C"
"PINELLAS PARK","G",2005,"A"
"PINELLAS PARK","G",2006,"A"
"PINELLAS PARK","G",2007,"A"
"PINELLAS PARK","G",2009,"A"
"PINELLAS PARK","G",2010,"B"
"PINELLAS PARK","G",2011,"C"
"PINELLAS PARK","G",2012,"B"
"PINELLAS PARK","G",2014,"A"
"PINELLAS PARK","G",2015,"A"
"PINELLAS PARK","G",2016,"A"
"PINELLAS PARK","P",2006,"A"
"PINELLAS PARK","P",2007,"A"
"PINELLAS PARK","P",2009,"B"
"PINELLAS PARK","P",2010,"C"
"PINELLAS PARK","P",2011,"C"
"PINELLAS PARK","P",2012,"B"
"PINELLAS PARK","P",2014,"A"
"PINELLAS PARK","P",2015,"A"
"PLANT CITY","PF",2005,"F"
"PLANT CITY","PF",2006,"D"
"PLANT CITY","PF",2007,"D"
"PLANT CITY","PF",2008,"D"
"PLANT CITY","PF",2009,"F"
"PLANT CITY","PF",2010,"F"
"PLANT CITY","PF",2011,"F"
"PLANT CITY","PF",2012,"D"
"PLANT CITY","PF",2013,"C"
"PLANT CITY","PF",2014,"C"
"PLANT CITY","PF",2015,"C"
"PLANT CITY","PF",2016,"C"
"PLANTATION","G",2005,"A"
"PLANTATION","G",2006,"A"
"PLANTATION","G",2007,"A"
"PLANTATION","G",2008,"A"
"PLANTATION","G",2009,"A"
"PLANTATION","G",2010,"B"
"PLANTATION","G",2011,"C"
"PLANTATION","G",2012,"C"
"PLANTATION","G",2013,"C"
"PLANTATION","G",2014,"B"
"PLANTATION","G",2015,"C"
"PLANTATION","P",2007,"C"
"PLANTATION","P",2008,"C"
"PLANTATION","P",2009,"C"
"PLANTATION","P",2010,"C"
"PLANTATION","P",2011,"D"
"PLANTATION","P",2012,"C"
"PLANTATION","P",2013,"C"
"PLANTATION","P",2014,"C"
"PLANTATION","P",2015,"C"
"PLANTATION","P",2016,"C"
"POMPANO BEACH","F",2007,"D"
"POMPANO BEACH","F",2009,"D"
"POMPANO BEACH","F",2010,"D"
"POMPANO BEACH","F",2011,"D"
"POMPANO BEACH","F",2012,"C"
"POMPANO BEACH","F",2013,"C"
"POMPANO BEACH","F",2014,"B"
"POMPANO BEACH","F",2015,"C"
"POMPANO BEACH","G",2005,"A"
"POMPANO BEACH","G",2007,"A"
"POMPANO BEACH","G",2008,"B"
"POMPANO BEACH","G",2009,"C"
"POMPANO BEACH","G",2010,"C"
"POMPANO BEACH","G",2011,"F"
"POMPANO BEACH","G",2012,"D"
"POMPANO BEACH","G",2013,"D"
"POMPANO BEACH","G",2014,"D"
"POMPANO BEACH","G",2015,"D"
"POMPANO BEACH","G",2016,"D"
"POMPANO BEACH","P",2009,"D"
"POMPANO BEACH","P",2010,"D"
"POMPANO BEACH","P",2011,"D"
"POMPANO BEACH","P",2012,"C"
"POMPANO BEACH","P",2013,"C"
"POMPANO BEACH","P",2014,"C"
"POMPANO BEACH","P",2015,"C"
"POMPANO BEACH","PF",2016,"C"
"PONCE INLET","F",2008,"A"
"PONCE INLET","F",2010,"B"
"PORT ORANGE","F",2005,"F"
"PORT ORANGE","F",2006,"F"
"PORT ORANGE","F",2007,"F"
"PORT ORANGE","F",2008,"F"
"PORT ORANGE","F",2009,"F"
"PORT ORANGE","F",2010,"F"
"PORT ORANGE","F",2011,"F"
"PORT ORANGE","F",2012,"F"
"PORT ORANGE","F",2013,"F"
"PORT ORANGE","F",2014,"F"
"PORT ORANGE","F",2015,"F"
"PORT ORANGE","F",2016,"D"
"PORT ORANGE","P",2007,"F"
"PORT ORANGE","P",2009,"F"
"PORT ORANGE","P",2012,"D"
"PORT ORANGE","P",2013,"C"
"PORT ORANGE","P",2014,"C"
"PORT ORANGE","P",2015,"C"
"PORT ST. LUCIE","P",2005,"D"
"PORT ST. LUCIE","P",2006,"B"
"PORT ST. LUCIE","P",2008,"B"
"PORT ST. LUCIE","P",2009,"C"
"PORT ST. LUCIE","P",2010,"C"
"PORT ST. LUCIE","P",2012,"C"
"PORT ST. LUCIE","P",2013,"C"
"PORT ST. LUCIE","P",2014,"B"
"PORT ST. LUCIE","P",2015,"C"
"PORT ST. LUCIE","P",2016,"C"
"PUNTA GORDA","F",2005,"C"
"PUNTA GORDA","F",2006,"C"
"PUNTA GORDA","F",2007,"C"
"PUNTA GORDA","F",2008,"C"
"PUNTA GORDA","F",2009,"C"
"PUNTA GORDA","F",2010,"D"
"PUNTA GORDA","F",2011,"F"
"PUNTA GORDA","F",2012,"D"
"PUNTA GORDA","F",2013,"C"
"PUNTA GORDA","F",2015,"B"
"PUNTA GORDA","F",2016,"B"
"PUNTA GORDA","G",2005,"B"
"PUNTA GORDA","G",2006,"B"
"PUNTA GORDA","G",2007,"A"
"PUNTA GORDA","G",2008,"B"
"PUNTA GORDA","G",2009,"B"
"PUNTA GORDA","G",2010,"B"
"PUNTA GORDA","G",2011,"C"
"PUNTA GORDA","G",2012,"C"
"PUNTA GORDA","G",2013,"B"
"PUNTA GORDA","G",2014,"B"
"PUNTA GORDA","G",2015,"B"
"PUNTA GORDA","G",2016,"B"
"QUINCY","PF",2013,"C"
"QUINCY","PF",2015,"C"
"RIVIERA BEACH","F",2006,"B"
"RIVIERA BEACH","F",2007,"B"
"RIVIERA BEACH","F",2008,"B"
"RIVIERA BEACH","F",2009,"B"
"RIVIERA BEACH","F",2011,"C"
"RIVIERA BEACH","F",2012,"B"
"RIVIERA BEACH","F",2013,"B"
"RIVIERA BEACH","F",2014,"B"
"RIVIERA BEACH","F",2016,"A"
"RIVIERA BEACH","G",2008,"C"
"RIVIERA BEACH","G",2009,"D"
"RIVIERA BEACH","G",2010,"D"
"RIVIERA BEACH","G",2011,"D"
"RIVIERA BEACH","G",2012,"C"
"RIVIERA BEACH","G",2014,"C"
"RIVIERA BEACH","G",2015,"A"
"RIVIERA BEACH","G",2016,"A"
"RIVIERA BEACH","P",2007,"B"
"RIVIERA BEACH","P",2011,"C"
"RIVIERA BEACH","P",2014,"B"
"RIVIERA BEACH","P",2015,"A"
"ROCKLEDGE","F",2007,"A"
"ROCKLEDGE","F",2009,"A"
"ROCKLEDGE","F",2010,"C"
"ROCKLEDGE","F",2012,"D"
"ROCKLEDGE","F",2013,"D"
"ROCKLEDGE","F",2014,"D"
"ROCKLEDGE","F",2015,"D"
"ROCKLEDGE","G",2006,"A"
"ROCKLEDGE","G",2007,"A"
"ROCKLEDGE","G",2008,"A"
"ROCKLEDGE","G",2010,"A"
"ROCKLEDGE","G",2012,"A"
"ROCKLEDGE","G",2013,"A"
"ROCKLEDGE","G",2014,"A"
"ROCKLEDGE","G",2015,"B"
"ROCKLEDGE","P",2007,"A"
"ROCKLEDGE","P",2009,"A"
"ROCKLEDGE","P",2010,"A"
"ROCKLEDGE","P",2012,"A"
"ROCKLEDGE","P",2013,"A"
"ROCKLEDGE","P",2014,"A"
"ROCKLEDGE","P",2015,"A"
"SAINT AUGUSTINE","G",2008,"A"
"SAINT AUGUSTINE","G",2009,"A"
"SAINT AUGUSTINE","G",2011,"B"
"SAINT AUGUSTINE","G",2013,"B"
"SAINT AUGUSTINE","G",2014,"B"
"SAINT AUGUSTINE","G",2015,"C"
"SAINT AUGUSTINE","P",2009,"A"
"SAINT AUGUSTINE","P",2010,"A"
"SAINT AUGUSTINE","P",2011,"A"
"SAINT AUGUSTINE","P",2012,"A"
"SAINT AUGUSTINE","P",2014,"A"
"SAINT AUGUSTINE","P",2015,"A"
"SAINT CLOUD","G",2008,"A"
"SAINT CLOUD","G",2009,"A"
"SAINT CLOUD","G",2010,"B"
"SAINT CLOUD","G",2011,"B"
"SAINT CLOUD","G",2012,"B"
"SAINT CLOUD","G",2013,"A"
"SAINT CLOUD","G",2014,"A"
"SAINT CLOUD","G",2015,"A"
"SAINT CLOUD","G",2016,"A"
"SAINT CLOUD","PF",2008,"B"
"SAINT CLOUD","PF",2009,"C"
"SAINT CLOUD","PF",2010,"C"
"SAINT CLOUD","PF",2011,"D"
"SAINT CLOUD","PF",2012,"D"
"SAINT CLOUD","PF",2013,"C"
"SAINT CLOUD","PF",2014,"B"
"SAINT CLOUD","PF",2015,"B"
"SAINT CLOUD","PF",2016,"C"
"SAINT PETE BEACH","F",2008,"D"
"SAINT PETE BEACH","F",2010,"F"
"SAINT PETE BEACH","F",2012,"D"
"SAINT PETE BEACH","F",2013,"D"
"SAINT PETE BEACH","F",2014,"C"
"SAINT PETE BEACH","F",2015,"D"
"SAINT PETE BEACH","F",2016,"D"
"SAINT PETE BEACH","G",2008,"D"
"SAINT PETE BEACH","G",2009,"D"
"SAINT PETE BEACH","G",2010,"D"
"SAINT PETE BEACH","G",2012,"D"
"SAINT PETE BEACH","G",2013,"D"
"SAINT PETE BEACH","G",2014,"D"
"SAINT PETE BEACH","G",2015,"D"
"SAINT PETE BEACH","G",2016,"D"
"SAINT PETE BEACH","P",2008,"D"
"SAINT PETE BEACH","P",2009,"D"
"SAINT PETE BEACH","P",2010,"D"
"SAINT PETE BEACH","P",2011,"F"
"SAINT PETE BEACH","P",2012,"D"
"SAINT PETE BEACH","P",2014,"D"
"SAINT PETE BEACH","P",2015,"D"
"SAINT PETE BEACH","P",2016,"D"
"SAINT PETERSBURG","F",2008,"B"
"SAINT PETERSBURG","F",2009,"B"
"SAINT PETERSBURG","F",2010,"C"
"SAINT PETERSBURG","F",2011,"D"
"SAINT PETERSBURG","F",2012,"B"
"SAINT PETERSBURG","F",2013,"B"
"SAINT PETERSBURG","F",2014,"B"
"SAINT PETERSBURG","F",2015,"A"
"SAINT PETERSBURG","F",2016,"A"
"SAINT PETERSBURG","G",2009,"A"
"SAINT PETERSBURG","G",2010,"B"
"SAINT PETERSBURG","G",2011,"C"
"SAINT PETERSBURG","G",2012,"A"
"SAINT PETERSBURG","G",2013,"A"
"SAINT PETERSBURG","G",2014,"A"
"SAINT PETERSBURG","G",2015,"A"
"SAINT PETERSBURG","G",2016,"A"
"SAINT PETERSBURG","P",2008,"B"
"SAINT PETERSBURG","P",2009,"B"
"SAINT PETERSBURG","P",2010,"B"
"SAINT PETERSBURG","P",2011,"C"
"SAINT PETERSBURG","P",2012,"B"
"SAINT PETERSBURG","P",2013,"B"
"SAINT PETERSBURG","P",2014,"B"
"SAINT PETERSBURG","P",2015,"B"
"SAINT PETERSBURG","P",2016,"B"
"SANFORD","F",2005,"C"
"SANFORD","F",2006,"C"
"SANFORD","F",2008,"C"
"SANFORD","F",2009,"D"
"SANFORD","F",2010,"D"
"SANFORD","F",2011,"D"
"SANFORD","F",2012,"D"
"SANFORD","F",2013,"C"
"SANFORD","F",2015,"B"
"SANFORD","F",2016,"B"
"SANFORD","P",2005,"C"
"SANFORD","P",2008,"C"
"SANFORD","P",2009,"C"
"SANFORD","P",2010,"C"
"SANFORD","P",2011,"D"
"SANFORD","P",2012,"C"
"SANFORD","P",2013,"B"
"SANFORD","P",2015,"A"
"SANFORD","P",2016,"A"
"SANIBEL","G",2005,"B"
"SANIBEL","G",2006,"C"
"SANIBEL","G",2007,"C"
"SANIBEL","G",2008,"D"
"SANIBEL","G",2009,"F"
"SANIBEL","G",2010,"F"
"SANIBEL","G",2011,"F"
"SANIBEL","G",2012,"C"
"SANIBEL","G",2013,"C"
"SANIBEL","G",2014,"B"
"SANIBEL","G",2015,"B"
"SANIBEL","G",2016,"C"
"SANIBEL","P",2005,"C"
"SANIBEL","P",2006,"D"
"SANIBEL","P",2008,"F"
"SANIBEL","P",2009,"D"
"SANIBEL","P",2010,"F"
"SANIBEL","P",2011,"F"
"SANIBEL","P",2012,"D"
"SANIBEL","P",2013,"C"
"SANIBEL","P",2014,"C"
"SANIBEL","P",2015,"C"
"SANIBEL","P",2016,"C"
"SARASOTA","F",2006,"D"
"SARASOTA","F",2007,"B"
"SARASOTA","F",2008,"D"
"SARASOTA","F",2009,"D"
"SARASOTA","F",2010,"D"
"SARASOTA","F",2011,"D"
"SARASOTA","F",2012,"D"
"SARASOTA","F",2013,"D"
"SARASOTA","F",2014,"C"
"SARASOTA","F",2015,"D"
"SARASOTA","F",2016,"D"
"SARASOTA","G",2005,"A"
"SARASOTA","G",2006,"A"
"SARASOTA","G",2008,"A"
"SARASOTA","G",2009,"A"
"SARASOTA","G",2010,"B"
"SARASOTA","G",2011,"C"
"SARASOTA","G",2012,"C"
"SARASOTA","G",2013,"C"
"SARASOTA","G",2014,"C"
"SARASOTA","G",2015,"C"
"SARASOTA","G",2016,"C"
"SARASOTA","P",2006,"B"
"SARASOTA","P",2007,"B"
"SARASOTA","P",2008,"B"
"SARASOTA","P",2009,"B"
"SARASOTA","P",2010,"C"
"SARASOTA","P",2011,"D"
"SARASOTA","P",2012,"C"
"SARASOTA","P",2013,"C"
"SARASOTA","P",2014,"B"
"SARASOTA","P",2015,"C"
"SARASOTA","P",2016,"B"
"SATELLITE BEACH","G",2007,"C"
"SATELLITE BEACH","G",2008,"C"
"SATELLITE BEACH","G",2009,"C"
"SATELLITE BEACH","G",2010,"D"
"SATELLITE BEACH","G",2011,"D"
"SATELLITE BEACH","PF",2007,"C"
"SATELLITE BEACH","PF",2008,"C"
"SATELLITE BEACH","PF",2009,"C"
"SATELLITE BEACH","PF",2010,"C"
"SATELLITE BEACH","PF",2011,"D"
"SATELLITE BEACH","PF",2012,"C"
"SATELLITE BEACH","PF",2013,"C"
"SATELLITE BEACH","PF",2014,"C"
"SATELLITE BEACH","PF",2015,"C"
"SATELLITE BEACH","PF",2016,"C"
"SEBASTIAN","P",2015,"A"
"SEBASTIAN","P",2016,"A"
"SEMINOLE","F",2011,"B"
"SEMINOLE","F",2012,"B"
"SEMINOLE","F",2013,"A"
"SEMINOLE","F",2014,"A"
"SEMINOLE","F",2015,"A"
"SEMINOLE","F",2016,"B"
"SOUTH MIAMI","G",2005,"B"
"SOUTH MIAMI","G",2008,"A"
"SOUTH MIAMI","G",2009,"B"
"SOUTH MIAMI","G",2010,"B"
"SOUTH MIAMI","G",2011,"B"
"SOUTH MIAMI","G",2012,"A"
"SOUTH MIAMI","G",2013,"A"
"SOUTH MIAMI","G",2014,"A"
"SOUTH MIAMI","G",2015,"A"
"SOUTH MIAMI","P",2005,"B"
"SOUTH MIAMI","P",2008,"C"
"SOUTH MIAMI","P",2009,"C"
"SOUTH MIAMI","P",2010,"C"
"SOUTH MIAMI","P",2011,"C"
"SOUTH MIAMI","P",2012,"C"
"SOUTH MIAMI","P",2013,"B"
"SOUTH MIAMI","P",2014,"A"
"SOUTH MIAMI","P",2015,"A"
"SOUTH PASADENA","F",2005,"B"
"SOUTH PASADENA","F",2006,"B"
"SOUTH PASADENA","F",2007,"C"
"SOUTH PASADENA","F",2008,"C"
"SOUTH PASADENA","F",2009,"D"
"SOUTH PASADENA","F",2010,"D"
"SOUTH PASADENA","F",2011,"D"
"SOUTH PASADENA","F",2012,"D"
"SOUTH PASADENA","F",2014,"B"
"SOUTH PASADENA","F",2015,"C"
"SOUTH PASADENA","F",2016,"C"
"ST. AUGUSTINE","P",2006,"A"
"ST. CLOUD","G",2005,"A"
"ST. CLOUD","G",2006,"A"
"ST. CLOUD","G",2007,"A"
"ST. CLOUD","PF",2005,"B"
"ST. CLOUD","PF",2006,"A"
"ST. CLOUD","PF",2007,"A"
"ST. PETE BEACH","F",2005,"D"
"ST. PETE BEACH","F",2006,"D"
"ST. PETE BEACH","F",2007,"D"
"ST. PETE BEACH","G",2005,"C"
"ST. PETE BEACH","G",2006,"C"
"ST. PETE BEACH","G",2007,"C"
"ST. PETE BEACH","P",2005,"C"
"ST. PETE BEACH","P",2006,"C"
"ST. PETE BEACH","P",2007,"C"
"ST. PETERSBURG","F",2005,"D"
"ST. PETERSBURG","F",2006,"D"
"ST. PETERSBURG","P",2005,"D"
"ST. PETERSBURG","P",2006,"D"
"STARKE","F",2008,"C"
"STARKE","F",2010,"D"
"STARKE","F",2012,"C"
"STARKE","F",2013,"C"
"STARKE","F",2014,"B"
"STARKE","F",2015,"C"
"STARKE","G",2008,"D"
"STARKE","G",2010,"F"
"STARKE","G",2011,"D"
"STARKE","G",2013,"C"
"STARKE","G",2014,"C"
"STARKE","G",2015,"C"
"STARKE","P",2008,"A"
"STARKE","P",2010,"B"
"STARKE","P",2012,"B"
"STARKE","P",2013,"B"
"STARKE","P",2014,"B"
"STARKE","P",2015,"B"
"SUNRISE","F",2007,"C"
"SUNRISE","F",2009,"D"
"SUNRISE","F",2011,"F"
"SUNRISE","F",2013,"D"
"SUNRISE","F",2014,"D"
"SUNRISE","F",2015,"D"
"SUNRISE","G",2009,"C"
"SUNRISE","G",2010,"D"
"SUNRISE","G",2011,"F"
"SUNRISE","G",2013,"C"
"SUNRISE","G",2015,"C"
"SUNRISE","P",2009,"F"
"SUNRISE","P",2010,"F"
"SUNRISE","P",2011,"F"
"SUNRISE","P",2012,"D"
"SUNRISE","P",2013,"D"
"SUNRISE","P",2014,"D"
"SUNRISE","P",2015,"D"
"SUNRISE","P",2016,"C"
"SURFSIDE","G",2008,"A"
"SURFSIDE","G",2009,"A"
"SURFSIDE","G",2010,"A"
"SURFSIDE","G",2011,"A"
"SURFSIDE","G",2012,"A"
"SURFSIDE","G",2013,"A"
"SURFSIDE","G",2014,"A"
"SURFSIDE","G",2015,"A"
"SURFSIDE","P",2008,"A"
"SURFSIDE","P",2009,"A"
"SURFSIDE","P",2010,"A"
"SURFSIDE","P",2011,"B"
"SURFSIDE","P",2012,"A"
"SURFSIDE","P",2013,"A"
"SURFSIDE","P",2014,"A"
"SURFSIDE","P",2015,"A"
"TALLAHASSEE","F",2005,"A"
"TALLAHASSEE","F",2007,"A"
"TALLAHASSEE","F",2009,"B"
"TALLAHASSEE","F",2012,"C"
"TALLAHASSEE","F",2014,"B"
"TALLAHASSEE","G",2005,"A"
"TALLAHASSEE","G",2007,"A"
"TALLAHASSEE","G",2009,"A"
"TALLAHASSEE","G",2012,"A"
"TALLAHASSEE","G",2014,"A"
"TALLAHASSEE","P",2005,"A"
"TALLAHASSEE","P",2007,"A"
"TALLAHASSEE","P",2009,"A"
"TALLAHASSEE","P",2012,"B"
"TALLAHASSEE","P",2014,"B"
"TAMARAC","F",2006,"C"
"TAMARAC","F",2008,"C"
"TAMARAC","F",2010,"C"
"TAMARAC","F",2012,"C"
"TAMARAC","F",2014,"B"
"TAMARAC","F",2015,"B"
"TAMARAC","G",2005,"A"
"TAMARAC","G",2008,"B"
"TAMARAC","G",2010,"B"
"TAMARAC","G",2012,"A"
"TAMARAC","G",2014,"A"
"TAMARAC","G",2015,"A"
"TAMARAC","G",2016,"A"
"TAMARAC","P",2005,"C"
"TAMARAC","P",2010,"F"
"TAMARAC","P",2011,"F"
"TAMARAC","P",2012,"F"
"TAMARAC","P",2014,"F"
"TAMARAC","P",2015,"F"
"TAMARAC - ELECTED","G",2015,"B"
"TAMARAC - ELECTED","G",2016,"B"
"TAMARAC - EXECUTIVE","G",2009,"D"
"TAMARAC - EXECUTIVE","G",2011,"D"
"TAMARAC - EXECUTIVE","G",2013,"C"
"TAMARAC - EXECUTIVE","G",2014,"B"
"TAMPA","PF",2006,"A"
"TAMPA","PF",2008,"A"
"TAMPA","PF",2009,"B"
"TAMPA","PF",2010,"B"
"TAMPA","PF",2012,"B"
"TAMPA","PF",2013,"B"
"TAMPA","PF",2014,"B"
"TAMPA","PF",2015,"B"
"TAMPA","PF",2016,"A"
"TARPON SPRINGS","F",2005,"C"
"TARPON SPRINGS","F",2006,"C"
"TARPON SPRINGS","F",2007,"B"
"TARPON SPRINGS","F",2008,"B"
"TARPON SPRINGS","F",2009,"B"
"TARPON SPRINGS","F",2010,"D"
"TARPON SPRINGS","F",2011,"D"
"TARPON SPRINGS","F",2012,"D"
"TARPON SPRINGS","F",2013,"D"
"TARPON SPRINGS","F",2015,"B"
"TARPON SPRINGS","F",2016,"C"
"TARPON SPRINGS","P",2005,"C"
"TARPON SPRINGS","P",2006,"B"
"TARPON SPRINGS","P",2007,"A"
"TARPON SPRINGS","P",2008,"A"
"TARPON SPRINGS","P",2009,"B"
"TARPON SPRINGS","P",2010,"B"
"TARPON SPRINGS","P",2011,"C"
"TARPON SPRINGS","P",2012,"B"
"TARPON SPRINGS","P",2013,"A"
"TARPON SPRINGS","P",2015,"A"
"TARPON SPRINGS","P",2016,"A"
"TAVARES","F",2006,"C"
"TAVARES","F",2008,"C"
